Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\benite-apparel\fxmanifest.lua, line 18: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\benite-apparel\shared\drawables.lua, line 1: _G
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\benite-apparel-dlc-custom\fxmanifest.lua, line 10: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\benite-apparel-dlc-custom\fxmanifest.lua, line 11: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\NB_OversizedAssetLogger\server.lua, line 30: RegisterConsoleListener
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\bridge\qb\client.lua, line 12: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 10: SetEntityAsMissionEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 27: SetModelAsNoLongerNeeded
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 29: PlaceObjectOnGroundProperly
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 30: FreezeEntityPosition
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 41: SetEntityAsMissionEntity
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 171: IsControlJustPressed
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 211: BeginTextCommandSetBlipName
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 212: AddTextComponentSubstringPlayerName
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 213: EndTextCommandSetBlipName
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 387: IsDisabledControlPressed
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 431: load
Match found in C:\Users\Administrator\Desktop\UkendtRoleplay\txData\ARP_1337RP.base\resources\uniq_vendingmachine\client\main.lua, line 445: load
